title,title2,name,location,bhk,size_sqft,price_numeric,amenities,image,image2,image3,source_url,scraped_at
"2 BHK Flats in Mumbai Central, Mumbai | 26+ 2 BHK Flats for sale in Mumbai Central, Mumbai",2 BHK in Mumbai,Firecrawl,Mumbai,2,800.0,45000000.0,"gated,gym,hospital,lift,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/6802eba49840fc46eb51e53ac728f67b/v0/thumb.jpg,https://housing.com/in/buy/mumbai/2bhk-mumbai_central,2026-04-04T17:54:45.579727Z
"Apartments in Mumbai Central, Mumbai | 50+ Apartments for sale in Mumbai Central, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,800.0,45000000.0,"gated,gym,hospital,lift,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/6802eba49840fc46eb51e53ac728f67b/v0/thumb.jpg,https://housing.com/in/buy/mumbai/flat-mumbai_central,2026-04-04T17:54:49.612943Z
"47+ Under Construction Apartments / Flats for sale in Mumbai Central, Mumbai.",1 BHK in Mumbai,Firecrawl,Mumbai,1,881.0,17600000.0,"gated,gym,lift,metro,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/a83e471b2f63f5144165ecf45d20daac/v0/thumb.jpg,https://housing.com/in/buy/mumbai/under-construction-apartments-in-mumbai_central-AC1M1P1s9obm5e820t6in7,2026-04-04T17:54:55.189318Z
Flats for Sale in Mumbai under 90 Lakhs |  11611+ Properties below 90 Lakhs in Mumbai,1 BHK in Mumbai,Firecrawl,Mumbai,1,,8250000.0,"garden,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/0b8ad14c/2ed4ecfe7a7a8159bbfc823def517dca/v0/thumb.jpg,https://housing.com/in/buy/mumbai/flats-in-mumbai-under-90-lakhs-Pskwz0ocdh7q42r5U5cwg0,2026-04-04T17:55:01.600145Z
Flats for Sale in Mumbai under 2 Crores |  25626+ Properties below 2 Crores in Mumbai,1 BHK in Mumbai,Firecrawl,Mumbai,1,,8250000.0,"garden,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/0b8ad14c/2ed4ecfe7a7a8159bbfc823def517dca/v0/thumb.jpg,https://housing.com/in/buy/mumbai/flats-in-mumbai-under-2-crore-Pskwz0ocdh7q42r5Ubwo3k,2026-04-04T17:55:05.769192Z
2 BHK Flats in Mumbai | 24928+ 2 BHK Flats for sale in Mumbai,2 BHK in Mumbai,Firecrawl,Mumbai,2,438.0,12000000.0,"garden,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/0b8ad14c/2ed4ecfe7a7a8159bbfc823def517dca/v0/thumb.jpg,https://housing.com/in/buy/mumbai/2bhk-mumbai,2026-04-04T17:55:09.920280Z
Apartments in Mumbai | 46695+ Apartments for sale in Mumbai,1 BHK in Mumbai,Firecrawl,Mumbai,1,438.0,8250000.0,"garden,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/0b8ad14c/2ed4ecfe7a7a8159bbfc823def517dca/v0/thumb.jpg,https://housing.com/in/buy/mumbai/flat-mumbai,2026-04-04T17:55:18.417144Z
"Flats in Bandra West, Mumbai | 1010+ Bandra West, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,1458.0,108400000.0,"gated,gym,hospital,lift,metro,park,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/a63ca07dcde0782a8442aa8bce0353d6/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/bandra_west,2026-04-04T17:55:24.924557Z
"Flats in Andheri East, Mumbai | 1745+ Andheri East, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,708.0,31900000.0,"garden,gated,gym,lift,metro,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/b4cfc782f552110658d7872297795c18/v1/thumb.jpg,https://housing.com/in/buy/mumbai/andheri_east,2026-04-04T17:55:31.681668Z
"Flats in Bandra East, Mumbai | 497+ Bandra East, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,363.0,12700000.0,"gated,gym,hospital,lift,metro,park,parking,pool,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/89bd5aaee6ade8df2d0b008aea6b2eaa/v0/thumb.jpg,https://housing.com/in/buy/mumbai/bandra_east,2026-04-04T17:55:38.719046Z
